n,ProbA.ticks,,
0,0,,
1,0,0,0
2,1,1,0
3,2,2,0
4,3,3,0
5,4,4,0
6,5,5,0
7,6,6,0
8,7,7,0
9,8,8,0
10,9,9,0
11,10,10,0
12,11,11,0
13,12,12,0
14,13,13,0
15,14,14,0
16,15,15,0
17,16,16,0
18,17,17,0
19,18,18,0
20,19,19,0
21,20,20,0
22,21,21,0
23,22,22,0
24,23,23,0
25,24,24,0
26,25,25,0
27,26,26,0
28,27,27,0
29,28,28,0
30,29,29,0
31,30,30,0
32,31,31,0
33,32,32,0
34,33,33,0
35,34,34,0
36,35,35,0
37,36,36,0
38,37,37,0
39,38,38,0
40,39,39,0
41,40,40,0
42,41,41,0
43,42,42,0
44,43,43,0
45,44,44,0
46,45,45,0
47,46,46,0
48,47,47,0
49,48,48,0
50,49,49,0
51,50,50,0
52,51,51,0
53,52,52,0
54,53,53,0
55,54,54,0
56,55,55,0
57,56,56,0
58,57,57,0
59,58,58,0
60,59,59,0
61,60,60,0
62,61,61,0
63,62,62,0
64,63,63,0
65,64,64,0
66,65,65,0
67,66,66,0
68,67,67,0
69,68,68,0
70,69,69,0
71,70,70,0
72,71,71,0
73,72,72,0
74,73,73,0
75,74,74,0
76,75,75,0
77,76,76,0
78,77,77,0
79,78,78,0
80,79,79,0
81,80,80,0
82,81,81,0
83,82,82,0
84,83,83,0
85,84,84,0
86,85,85,0
87,86,86,0
88,87,87,0
89,88,88,0
90,89,89,0
91,90,90,0
92,91,91,0
93,92,92,0
94,93,93,0
95,94,94,0
96,95,95,0
97,96,96,0
98,97,97,0
99,98,98,0
