n,heapsort.ticks
150000,2828724
180000,3444966
210000,4065012
240000,4690426
270000,5318049
300000,5959037
330000,6601013
360000,7250608
390000,7899311
420000,8550672
450000,9200668
480000,9857733
510000,10509827
540000,11173597
570000,11843300
600000,12517371
630000,13188186
660000,13865338
690000,14541150
720000,15219680
750000,15899202
780000,16575741
810000,17259295
840000,17939386
870000,18623149
900000,19305052
930000,19989788
960000,20674262
990000,21358299
1020000,22044232
1050000,22732187
1080000,23427489
1110000,24129167
1140000,24829025
1170000,25527927
1200000,26229982
1230000,26936970
1260000,27639260
1290000,28343481
1320000,29046793
1350000,29753211
1380000,30460528
1410000,31166180
1440000,31877403
1470000,32583428
