n,heapsort.time
150000,111
180000,121
210000,166
240000,182
270000,205
300000,268
330000,318
360000,338
390000,411
420000,421
450000,518
480000,565
510000,651
540000,675
570000,754
600000,780
630000,879
660000,907
690000,997
720000,1020
750000,1057
780000,1109
810000,1198
840000,1268
870000,1317
900000,1371
930000,1445
960000,1557
990000,1821
1020000,1732
1050000,1831
1080000,1807
1110000,1877
1140000,1891
1170000,1942
1200000,2011
1230000,2028
1260000,2136
1290000,2301
1320000,2397
1350000,2293
1380000,2494
1410000,2595
1440000,2557
1470000,2760
