n,sortusingbst.time
100,0
200,0
300,0
400,0
500,1
600,1
700,2
800,2
900,3
1000,4
1100,4
1200,6
1300,6
1400,8
1500,10
1600,12
1700,12
1800,15
1900,18
2000,17
2100,20
2200,21
2300,24
2400,27
2500,28
2600,32
2700,33
2800,35
2900,46
3000,48
3100,46
3200,49
3300,53
3400,52
3500,59
3600,64
3700,68
3800,73
3900,72
4000,77
4100,79
4200,92
4300,92
4400,96
4500,101
4600,102
4700,109
4800,116
4900,119
5000,123
5100,131
5200,139
5300,142
5400,145
5500,160
5600,154
5700,157
5800,158
5900,178
6000,180
6100,192
6200,197
6300,198
6400,205
6500,206
6600,218
6700,227
6800,238
6900,247
7000,255
7100,255
7200,261
7300,270
7400,275
7500,295
7600,301
7700,301
7800,313
7900,327
8000,335
8100,334
8200,344
8300,358
8400,361
8500,379
8600,370
8700,391
8800,412
8900,390
9000,395
9100,414
9200,432
9300,427
9400,468
9500,460
9600,470
9700,469
9800,488
9900,506
