n,sortusingunorderedlist.time
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,1
1000,1
1100,2
1200,1
1300,1
1400,2
1500,2
1600,3
1700,3
1800,3
1900,4
2000,4
2100,4
2200,4
2300,5
2400,6
2500,6
2600,6
2700,7
2800,7
2900,8
3000,8
3100,10
3200,9
3300,10
3400,11
3500,12
3600,14
3700,14
3800,15
3900,15
4000,15
4100,17
4200,18
4300,18
4400,19
4500,22
4600,21
4700,23
4800,24
4900,26
5000,27
5100,24
5200,28
5300,26
5400,27
5500,33
5600,31
5700,34
5800,34
5900,34
6000,37
6100,37
6200,37
6300,37
6400,40
6500,48
6600,48
6700,53
6800,49
6900,50
7000,58
7100,55
7200,62
7300,54
7400,53
7500,56
7600,58
7700,60
7800,60
7900,63
8000,63
8100,63
8200,68
8300,77
8400,74
8500,70
8600,74
8700,78
8800,80
8900,79
9000,81
9100,87
9200,83
9300,90
9400,86
9500,88
9600,102
9700,91
9800,100
9900,102
