Iteration,Pancake Values,Syrup Values,PancakeAndSyrup Values,,,
0,1,3001,3032,,,
1,2,2001,2063,,,
2,10,3001,3311,,,
3,1,3001,3032,,,
4,10,2001,2311,,,
5,5,2001,2156,,,
6,7,3001,3218,,,
7,5,2001,2156,,,
8,4,2001,2125,,,
9,1,3001,3032,,,
10,6,3001,3187,,,
11,9,2001,2280,,,
12,11,3001,3342,,,
13,8,1001,1249,,,
14,10,1001,1311,,,
15,6,3001,3187,,,
16,11,1001,1342,,,
17,9,2001,2280,,,
18,11,3001,3342,,,
19,5,2001,2156,,,
20,4,1001,1125,,,
21,6,3001,3187,,,
22,6,1001,1187,,,
23,4,1001,1125,,,
24,8,2001,2249,,,
25,4,3001,3125,,,
26,2,3001,3063,,,
27,8,3001,3249,,,
28,10,2001,2311,,,
29,6,3001,3187,,,
30,3,2001,2094,,,
31,4,2001,2125,,,
32,7,3001,3218,,,
33,2,3001,3063,,,
34,6,3001,3187,,,
35,6,3001,3187,,,
36,5,3001,3156,,,
37,8,2001,2249,,,
38,6,1001,1187,,,
39,6,2001,2187,,,
40,11,2001,2342,,,
41,4,2001,2125,,,
42,6,3001,3187,,,
43,1,1001,1032,,,
44,10,2001,2311,,,
45,5,2001,2156,,,
46,5,3001,3156,,,
47,3,2001,2094,,,
48,1,1001,1032,,,
49,5,3001,3156,,,
50,6,2001,2187,,,
51,10,3001,3311,,,
52,6,1001,1187,,,
53,6,1001,1187,,,
54,6,1001,1187,,,
55,8,3001,3249,,,
56,11,3001,3342,,,
57,4,2001,2125,,,
58,6,1001,1187,,,
59,4,3001,3125,,,
60,1,3001,3032,,,
61,7,3001,3218,,,
62,3,1001,1094,,,
63,3,3001,3094,,,
64,4,2001,2125,,,
65,6,2001,2187,,,
66,10,2001,2311,,,
67,10,3001,3311,,,
68,4,1001,1125,,,
69,1,3001,3032,,,
70,6,2001,2187,,,
71,1,3001,3032,,,
72,4,3001,3125,,,
73,6,3001,3187,,,
74,6,3001,3187,,,
75,3,2001,2094,,,
76,3,3001,3094,,,
77,6,1001,1187,,,
78,2,2001,2063,,,
79,5,3001,3156,,,
80,2,1001,1063,,,
81,6,1001,1187,,,
82,1,1001,1032,,,
83,3,1001,1094,,,
84,10,1001,1311,,,
85,6,3001,3187,,,
86,5,1001,1156,,,
87,9,2001,2280,,,
88,5,1001,1156,,,
89,7,1001,1218,,,
90,8,1001,1249,,,
91,5,2001,2156,,,
92,6,1001,1187,,,
93,2,2001,2063,,,
94,10,2001,2311,,,
95,3,2001,2094,,,
96,6,3001,3187,,,
97,6,1001,1187,,,
98,5,2001,2156,,,
99,4,3001,3125,,,
100,7,1001,1218,,,
101,6,2001,2187,,,
102,6,2001,2187,,,
103,11,3001,3342,,,
104,3,2001,2094,,,
105,10,1001,1311,,,
106,8,2001,2249,,,
107,4,3001,3125,,,
108,2,2001,2063,,,
109,6,2001,2187,,,
110,4,1001,1125,,,
111,2,2001,2063,,,
112,4,3001,3125,,,
113,1,2001,2032,,,
114,5,3001,3156,,,
115,4,3001,3125,,,
116,9,2001,2280,,,
117,11,3001,3342,,,
118,7,2001,2218,,,
119,3,3001,3094,,,
120,2,1001,1063,,,
121,3,3001,3094,,,
122,7,3001,3218,,,
123,5,3001,3156,,,
124,6,2001,2187,,,
125,2,1001,1063,,,
126,4,2001,2125,,,
127,2,3001,3063,,,
128,9,2001,2280,,,
129,8,3001,3249,,,
130,8,2001,2249,,,
131,9,1001,1280,,,
132,11,3001,3342,,,
133,11,2001,2342,,,
134,2,1001,1063,,,
135,4,2001,2125,,,
136,1,2001,2032,,,
137,6,1001,1187,,,
138,10,3001,3311,,,
139,6,3001,3187,,,
140,10,1001,1311,,,
141,10,2001,2311,,,
142,8,2001,2249,,,
143,4,1001,1125,,,
144,9,3001,3280,,,
145,2,1001,1063,,,
146,2,3001,3063,,,
147,4,2001,2125,,,
148,1,2001,2032,,,
149,11,3001,3342,,,
150,11,3001,3342,,,
151,9,1001,1280,,,
152,7,3001,3218,,,
153,6,3001,3187,,,
154,6,3001,3187,,,
155,8,2001,2249,,,
156,2,2001,2063,,,
157,7,3001,3218,,,
158,7,1001,1218,,,
159,8,2001,2249,,,
160,10,1001,1311,,,
161,10,2001,2311,,,
162,5,2001,2156,,,
163,7,2001,2218,,,
164,1,3001,3032,,,
165,1,3001,3032,,,
166,4,2001,2125,,,
167,9,1001,1280,,,
168,7,2001,2218,,,
169,9,3001,3280,,,
170,5,2001,2156,,,
171,11,1001,1342,,,
172,1,3001,3032,,,
173,6,1001,1187,,,
